width: 54, height: 211
Number of updates: 6000
drawing at 1, 31
drawing at 1, 31
drawing at 1, 31
drawing at 1, 31
drawing at 1, 32
drawing at 1, 32
drawing at 1, 32
drawing at 1, 32
drawing at 1, 32
drawing at 1, 33
drawing at 1, 33
drawing at 1, 33
drawing at 1, 34
drawing at 1, 33
drawing at 2, 33
drawing at 2, 33
drawing at 2, 33
drawing at 2, 33
drawing at 2, 33
drawing at 2, 33
drawing at 2, 33
drawing at 2, 33
drawing at 2, 33
drawing at 2, 34
drawing at 2, 35
drawing at 2, 35
drawing at 2, 35
drawing at 2, 35
drawing at 2, 35
drawing at 2, 35
drawing at 2, 36
drawing at 2, 36
drawing at 2, 35
drawing at 2, 36
drawing at 2, 36
drawing at 2, 37
drawing at 2, 36
drawing at 2, 36
drawing at 2, 36
drawing at 2, 36
drawing at 2, 36
drawing at 2, 35
drawing at 2, 34
drawing at 2, 34
drawing at 3, 34
drawing at 3, 34
drawing at 3, 34
drawing at 3, 34
drawing at 3, 35
drawing at 3, 35
drawing at 3, 35
drawing at 3, 35
drawing at 3, 35
drawing at 3, 36
drawing at 3, 37
drawing at 3, 37
drawing at 3, 37
drawing at 3, 38
drawing at 3, 39
drawing at 3, 39
drawing at 3, 39
drawing at 3, 38
drawing at 3, 39
drawing at 3, 40
drawing at 3, 39
drawing at 3, 38
drawing at 3, 39
drawing at 3, 40
drawing at 3, 40
drawing at 3, 41
drawing at 3, 41
drawing at 3, 40
drawing at 4, 40
drawing at 4, 40
drawing at 4, 40
drawing at 4, 40
drawing at 4, 41
drawing at 4, 40
drawing at 4, 41
drawing at 4, 41
drawing at 4, 41
drawing at 4, 41
drawing at 4, 42
drawing at 4, 42
drawing at 4, 42
drawing at 4, 42
drawing at 4, 42
drawing at 4, 42
drawing at 4, 41
drawing at 4, 41
drawing at 4, 40
drawing at 4, 41
drawing at 4, 41
drawing at 4, 42
drawing at 4, 42
drawing at 4, 42
drawing at 4, 42
drawing at 4, 43
drawing at 4, 43
drawing at 4, 42
drawing at 4, 42
drawing at 4, 42
drawing at 5, 42
drawing at 5, 42
drawing at 5, 42
drawing at 5, 41
drawing at 5, 42
drawing at 5, 41
drawing at 5, 41
drawing at 5, 41
drawing at 5, 40
drawing at 5, 40
drawing at 5, 40
drawing at 5, 40
drawing at 5, 40
drawing at 5, 39
drawing at 5, 39
drawing at 5, 39
drawing at 5, 39
drawing at 5, 39
drawing at 5, 39
drawing at 5, 38
drawing at 5, 39
drawing at 5, 39
drawing at 5, 38
drawing at 5, 38
drawing at 5, 38
drawing at 5, 39
drawing at 5, 39
drawing at 6, 39
drawing at 6, 39
drawing at 6, 38
drawing at 6, 38
drawing at 6, 39
drawing at 6, 39
drawing at 6, 40
drawing at 6, 41
drawing at 6, 41
drawing at 6, 40
drawing at 6, 41
drawing at 6, 41
drawing at 6, 41
drawing at 6, 41
drawing at 6, 42
drawing at 6, 41
drawing at 6, 42
drawing at 6, 43
drawing at 6, 42
drawing at 6, 43
drawing at 6, 43
drawing at 6, 42
drawing at 6, 42
drawing at 6, 42
drawing at 6, 42
drawing at 6, 43
drawing at 6, 43
drawing at 6, 42
drawing at 6, 42
drawing at 6, 42
drawing at 7, 43
drawing at 7, 42
drawing at 7, 42
drawing at 7, 43
drawing at 7, 43
drawing at 7, 43
drawing at 7, 43
drawing at 7, 43
drawing at 7, 43
drawing at 7, 43
drawing at 7, 43
drawing at 7, 43
drawing at 7, 43
drawing at 7, 43
drawing at 7, 43
drawing at 7, 43
drawing at 7, 44
drawing at 7, 44
drawing at 7, 44
drawing at 7, 44
drawing at 7, 44
drawing at 7, 45
drawing at 7, 45
drawing at 7, 46
drawing at 7, 45
drawing at 7, 44
drawing at 7, 44
drawing at 7, 44
drawing at 8, 44
drawing at 8, 45
drawing at 8, 44
drawing at 8, 44
drawing at 8, 44
drawing at 8, 45
drawing at 8, 44
drawing at 8, 44
drawing at 8, 44
drawing at 8, 44
drawing at 8, 44
drawing at 8, 44
drawing at 8, 44
drawing at 8, 44
drawing at 8, 44
drawing at 8, 45
drawing at 8, 44
drawing at 8, 44
drawing at 8, 43
drawing at 8, 42
drawing at 8, 42
drawing at 8, 42
drawing at 8, 42
drawing at 8, 42
drawing at 8, 43
drawing at 8, 43
drawing at 8, 42
drawing at 8, 42
drawing at 9, 43
drawing at 9, 42
drawing at 9, 42
drawing at 9, 42
drawing at 9, 42
drawing at 9, 42
drawing at 9, 42
drawing at 9, 43
drawing at 9, 42
drawing at 9, 42
drawing at 9, 42
drawing at 9, 42
drawing at 9, 41
drawing at 9, 41
drawing at 9, 40
drawing at 9, 41
drawing at 9, 42
drawing at 9, 41
drawing at 9, 41
drawing at 9, 41
drawing at 9, 41
drawing at 9, 41
drawing at 9, 42
drawing at 9, 41
drawing at 9, 42
drawing at 9, 42
drawing at 9, 41
drawing at 9, 41
drawing at 9, 41
drawing at 9, 40
drawing at 10, 40
drawing at 10, 39
drawing at 10, 39
drawing at 10, 38
drawing at 10, 39
drawing at 10, 39
drawing at 10, 40
drawing at 10, 40
drawing at 10, 39
drawing at 10, 39
drawing at 10, 40
drawing at 10, 40
drawing at 10, 40
drawing at 10, 40
drawing at 10, 39
drawing at 10, 39
drawing at 10, 40
drawing at 10, 40
drawing at 10, 39
drawing at 10, 40
drawing at 10, 40
drawing at 10, 40
drawing at 10, 40
drawing at 10, 40
drawing at 10, 41
drawing at 10, 40
drawing at 10, 39
drawing at 11, 40
drawing at 11, 41
drawing at 11, 41
drawing at 11, 41
drawing at 11, 41
drawing at 11, 41
drawing at 11, 41
drawing at 11, 40
drawing at 11, 41
drawing at 11, 41
drawing at 11, 41
drawing at 11, 42
drawing at 11, 43
drawing at 11, 42
drawing at 11, 42
drawing at 11, 42
drawing at 11, 43
drawing at 11, 43
drawing at 11, 43
drawing at 11, 42
drawing at 11, 42
drawing at 11, 43
drawing at 11, 43
drawing at 11, 43
drawing at 11, 44
drawing at 11, 43
drawing at 11, 42
drawing at 11, 43
drawing at 11, 42
drawing at 11, 43
drawing at 12, 42
drawing at 12, 42
drawing at 12, 42
drawing at 12, 41
drawing at 12, 42
drawing at 12, 43
drawing at 12, 43
drawing at 12, 42
drawing at 12, 42
drawing at 12, 42
drawing at 12, 41
drawing at 12, 41
drawing at 12, 40
drawing at 12, 41
drawing at 12, 40
drawing at 12, 40
drawing at 12, 41
drawing at 12, 41
drawing at 12, 40
drawing at 12, 40
drawing at 12, 39
drawing at 12, 38
drawing at 12, 38
drawing at 12, 37
drawing at 12, 38
drawing at 12, 37
drawing at 12, 37
drawing at 12, 37
drawing at 13, 37
drawing at 13, 38
drawing at 13, 38
drawing at 13, 38
drawing at 13, 39
drawing at 13, 38
drawing at 13, 38
drawing at 13, 39
drawing at 13, 39
drawing at 13, 39
drawing at 13, 40
drawing at 13, 39
drawing at 13, 40
drawing at 13, 40
drawing at 13, 39
drawing at 13, 38
drawing at 13, 39
drawing at 13, 38
drawing at 13, 38
drawing at 13, 38
drawing at 13, 37
drawing at 13, 38
drawing at 13, 37
drawing at 13, 37
drawing at 13, 37
drawing at 13, 37
drawing at 13, 37
drawing at 13, 38
drawing at 13, 39
drawing at 13, 38
drawing at 14, 39
drawing at 14, 39
drawing at 14, 38
drawing at 14, 39
drawing at 14, 39
drawing at 14, 39
drawing at 14, 40
drawing at 14, 41
drawing at 14, 40
drawing at 14, 40
drawing at 14, 40
drawing at 14, 40
drawing at 14, 39
drawing at 14, 38
drawing at 14, 38
drawing at 14, 38
drawing at 14, 39
drawing at 14, 39
drawing at 14, 39
drawing at 14, 38
drawing at 14, 39
drawing at 14, 38
drawing at 14, 38
drawing at 14, 39
drawing at 14, 38
drawing at 14, 38
drawing at 14, 37
drawing at 14, 37
drawing at 15, 36
drawing at 15, 36
drawing at 15, 36
drawing at 15, 37
drawing at 15, 37
drawing at 15, 38
drawing at 15, 38
drawing at 15, 39
drawing at 15, 39
drawing at 15, 40
drawing at 15, 40
drawing at 15, 39
drawing at 15, 40
drawing at 15, 39
drawing at 15, 39
drawing at 15, 40
drawing at 15, 40
drawing at 15, 39
drawing at 15, 38
drawing at 15, 39
drawing at 15, 38
drawing at 15, 38
drawing at 15, 37
drawing at 15, 36
drawing at 15, 36
drawing at 15, 35
drawing at 15, 34
drawing at 15, 34
drawing at 15, 35
drawing at 16, 34
drawing at 16, 34
drawing at 16, 33
drawing at 16, 33
drawing at 16, 33
drawing at 16, 33
drawing at 16, 32
drawing at 16, 33
drawing at 16, 33
drawing at 16, 33
drawing at 16, 33
drawing at 16, 33
drawing at 16, 32
drawing at 16, 32
drawing at 16, 32
drawing at 16, 32
drawing at 16, 33
drawing at 16, 33
drawing at 16, 32
drawing at 16, 31
drawing at 16, 32
drawing at 16, 32
drawing at 16, 32
drawing at 16, 32
drawing at 16, 31
drawing at 16, 31
drawing at 16, 30
drawing at 16, 29
drawing at 17, 29
drawing at 17, 28
drawing at 17, 29
drawing at 17, 29
drawing at 17, 28
drawing at 17, 29
drawing at 17, 29
drawing at 17, 28
drawing at 17, 28
drawing at 17, 29
drawing at 17, 29
drawing at 17, 30
drawing at 17, 29
drawing at 17, 29
drawing at 17, 29
drawing at 17, 29
drawing at 17, 30
drawing at 17, 30
drawing at 17, 29
drawing at 17, 30
drawing at 17, 31
drawing at 17, 30
drawing at 17, 30
drawing at 17, 30
drawing at 17, 30
drawing at 17, 29
drawing at 17, 29
drawing at 17, 29
drawing at 18, 28
drawing at 18, 28
drawing at 18, 28
drawing at 18, 28
drawing at 18, 28
drawing at 18, 27
drawing at 18, 27
drawing at 18, 26
drawing at 18, 27
drawing at 18, 26
drawing at 18, 27
drawing at 18, 27
drawing at 18, 28
drawing at 18, 28
drawing at 18, 29
drawing at 18, 28
drawing at 18, 28
drawing at 18, 28
drawing at 18, 29
drawing at 18, 28
drawing at 18, 28
drawing at 18, 28
drawing at 18, 28
drawing at 18, 27
drawing at 18, 28
drawing at 18, 28
drawing at 18, 28
drawing at 18, 27
drawing at 18, 28
drawing at 18, 28
drawing at 19, 29
drawing at 19, 29
drawing at 19, 29
drawing at 19, 29
drawing at 19, 30
drawing at 19, 30
drawing at 19, 30
drawing at 19, 30
drawing at 19, 30
drawing at 19, 30
drawing at 19, 31
